name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Orlando Woolridge,woolror01,1981,6,1983-84,CHI,NBA,SF
Orlando Woolridge,woolror01,1981,6,1984-85,CHI,NBA,SF
Orlando Woolridge,woolror01,1981,6,1985-86,CHI,NBA,SF
Orlando Woolridge,woolror01,1981,6,1986-87,NJN,NBA,SF
Orlando Woolridge,woolror01,1981,6,1987-88,NJN,NBA,SF
Orlando Woolridge,woolror01,1981,6,1988-89,LAL,NBA,SF
Orlando Woolridge,woolror01,1981,6,1989-90,LAL,NBA,SF
Orlando Woolridge,woolror01,1981,6,1990-91,DEN,NBA,SF
Orlando Woolridge,woolror01,1981,6,1991-92,DET,NBA,SF
Orlando Woolridge,woolror01,1981,6,1992-93,TOT,NBA,SF
Orlando Woolridge,woolror01,1981,6,1993-94,PHI,NBA,SF
Steve Johnson,johnsst03,1981,7,1981-82,KCK,NBA,C
Steve Johnson,johnsst03,1981,7,1982-83,KCK,NBA,C
Steve Johnson,johnsst03,1981,7,1983-84,TOT,NBA,C
Steve Johnson,johnsst03,1981,7,1984-85,CHI,NBA,C
Steve Johnson,johnsst03,1981,7,1985-86,SAS,NBA,C
Steve Johnson,johnsst03,1981,7,1986-87,POR,NBA,C
Steve Johnson,johnsst03,1981,7,1987-88,POR,NBA,C
Steve Johnson,johnsst03,1981,7,1988-89,POR,NBA,C
Steve Johnson,johnsst03,1981,7,1989-90,TOT,NBA,C
Steve Johnson,johnsst03,1981,7,1990-91,GSW,NBA,C
Tom Chambers,chambto01,1981,8,1981-82,SDC,NBA,PF
Tom Chambers,chambto01,1981,8,1982-83,SDC,NBA,PF
Tom Chambers,chambto01,1981,8,1983-84,SEA,NBA,PF
Tom Chambers,chambto01,1981,8,1984-85,SEA,NBA,PF
Tom Chambers,chambto01,1981,8,1985-86,SEA,NBA,PF
Tom Chambers,chambto01,1981,8,1986-87,SEA,NBA,PF
Tom Chambers,chambto01,1981,8,1987-88,SEA,NBA,PF
Tom Chambers,chambto01,1981,8,1988-89,PHO,NBA,PF
