name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Vern Fleming,flemive01,1984,18,1984-85,IND,NBA,PG
Bernard Thompson,thompbe01,1984,19,1984-85,POR,NBA,SF
Tony Campbell,campbto01,1984,20,1984-85,DET,NBA,SF
Kenny Fields,fieldke01,1984,21,1984-85,MIL,NBA,SF
Tom Sewell,sewelto01,1984,22,1984-85,WSB,NBA,SG
Earl Jones,jonesea01,1984,23,1984-85,LAL,NBA,C
Michael Young,youngmi01,1984,24,1984-85,PHO,NBA,SF
Devin Durrant,durrade01,1984,25,1984-85,IND,NBA,SF
Ron Anderson,anderro01,1984,27,1984-85,CLE,NBA,SF
Cory Blackwell,blackco01,1984,28,1984-85,SEA,NBA,SF
Stuart Gray,grayst01,1984,29,1984-85,IND,NBA,C
Steve Burtt,burttst01,1984,30,1984-85,GSW,NBA,SG
Jay Murphy,murphja01,1984,31,1984-85,LAC,NBA,PF
Steve Colter,coltest01,1984,33,1984-85,POR,NBA,PG
Othell Wilson,wilsoot01,1984,35,1984-85,GSW,NBA,PG
Charles Jones,jonesch02,1984,36,1984-85,PHO,NBA,C
Ben Coleman,colembe01,1984,37,1986-87,NJN,NBA,C
Charlie Sitton,sittoch01,1984,38,1984-85,DAL,NBA,SF
Danny Young,youngda01,1984,39,1984-85,SEA,NBA,PG
Tom Sluby,slubyto01,1984,41,1984-85,DAL,NBA,SG
Willie White,whitewi01,1984,42,1984-85,DEN,NBA,SG
Gary Plummer,plummga01,1984,45,1984-85,GSW,NBA,PF
Jerome Kersey,kerseje01,1984,46,1984-85,POR,NBA,SF
Ben McDonald,mcdonbe01,1984,50,1985-86,CLE,NBA,SF
Jim Petersen,peterji01,1984,51,1984-85,HOU,NBA,PF
Joe Binion,biniojo01,1984,57,1986-87,POR,NBA,PF
Jeff Cross,crossje01,1984,61,1985-86,LAC,NBA,PF
David Pope,popeda01,1984,62,1984-85,KCK,NBA,SF
Butch Graves,gravebu01,1984,68,1984-85,CLE,NBA,SG
Rick Carlisle,carliri01,1984,70,1984-85,BOS,NBA,SG
Ralph Jackson,jacksra01,1984,71,1984-85,IND,NBA,PG
Jim Grandholm,grandji01,1984,76,1990-91,DAL,NBA,PF
Carl Henry,henryca01,1984,80,1985-86,SAC,NBA,SG
Jim Rowinski,rowinji01,1984,86,1988-89,TOT,NBA,PF-C
Bob Thornton,thornbo01,1984,87,1985-86,NYK,NBA,PF
Ozell Jones,jonesoz01,1984,90,1984-85,SAS,NBA,C
McKinley Singleton,singlmc01,1984,120,1986-87,NYK,NBA,PG
Eddie Lee Wilkins,wilkied01,1984,133,1984-85,NYK,NBA,C
Kenton Edelin,edelike01,1984,140,1984-85,IND,NBA,SF
Ken Bannister,bannike01,1984,156,1984-85,NYK,NBA,PF
Brian Martin,martibr01,1984,185,1985-86,TOT,NBA,SF-PF
Patrick Ewing,ewingpa01,1985,1,1985-86,NYK,NBA,C
Wayman Tisdale,tisdawa01,1985,2,1985-86,IND,NBA,PF
Benoit Benjamin,benjabe01,1985,3,1985-86,LAC,NBA,C
Xavier McDaniel,mcdanxa01,1985,4,1985-86,SEA,NBA,SF
Jon Koncak,koncajo01,1985,5,1985-86,ATL,NBA,C
Joe Kleine,kleinjo01,1985,6,1985-86,SAC,NBA,C
