name,slug,college_slug,draft_year,draft_pick,season,school_name,conf_abbr,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Hawkeye Whitney,whitnha02,hawkeye-whitney-1,1980,16,1976-77,NC State,ACC,28,,,6.7,13.1,.514,,,,,,,1.2,2.2,.548,,,5.8,,,,,,14.6,,5.32
Hawkeye Whitney,whitnha02,hawkeye-whitney-1,1980,16,1977-78,NC State,ACC,31,,,6.2,13.5,.460,,,,,,,2.8,4.4,.640,,,5.4,,,,,,15.3,,7.31
Hawkeye Whitney,whitnha02,hawkeye-whitney-1,1980,16,1978-79,NC State,ACC,30,,,7.9,14.8,.535,,,,,,,2.8,3.9,.712,,,6.1,,,,,,18.7,,7.33
Hawkeye Whitney,whitnha02,hawkeye-whitney-1,1980,16,1979-80,NC State,ACC,28,,,7.4,14.2,.521,,,,,,,3.8,5.3,.718,,,4.9,,,,,,18.6,,6.34
Larry Drew,drewla01,larry-drew-1,1980,17,1976-77,Missouri,Big 8,28,,,2.7,6.3,.429,,,,,,,1.6,2.1,.746,,,2.8,2.8,,,,1.5,6.9,,4.68
Larry Drew,drewla01,larry-drew-1,1980,17,1977-78,Missouri,Big 8,30,30,34.3,5.0,11.5,.436,,,,,,,2.7,3.5,.762,,,3.0,2.6,0.8,0.1,,1.9,12.7,,6.18
Larry Drew,drewla01,larry-drew-1,1980,17,1978-79,Missouri,Big 8,28,28,37.0,6.5,13.1,.495,,,,,,,2.3,3.6,.640,,,2.6,4.3,,0.1,4.0,2.0,15.2,,4.20
Larry Drew,drewla01,larry-drew-1,1980,17,1979-80,Missouri,Big 8,31,31,35.2,4.9,9.0,.541,,,,,,,3.2,3.9,.818,,,2.9,5.0,1.4,0.2,3.5,1.9,12.9,,3.54
Don Collins,collido02,don-collins-1,1980,18,1976-77,Washington State,Pac-8,27,,16.2,2.6,5.1,.514,,,,,,,0.8,1.3,.600,,,2.9,1.0,0.8,0.3,1.1,2.3,6.0,,0.83
Don Collins,collido02,don-collins-1,1980,18,1977-78,Washington State,Pac-8,24,,28.6,4.5,8.5,.532,,,,,,,3.3,4.1,.808,,,5.0,1.5,1.5,0.4,2.3,3.6,12.3,,3.65
Don Collins,collido02,don-collins-1,1980,18,1978-79,Washington State,Pac-10,27,,35.0,6.7,12.3,.548,,,,,,,3.4,4.3,.795,,,6.3,2.4,2.6,0.5,2.1,2.9,16.9,,6.07
Don Collins,collido02,don-collins-1,1980,18,1979-80,Washington State,Pac-10,28,,33.9,9.0,15.1,.597,,,,,,,5.0,6.5,.770,,,6.0,1.7,2.7,0.4,2.5,2.9,23.1,,4.06
John Duren,durenjo01,john-duren-1,1980,19,1976-77,Georgetown,Ind,26,,,4.0,8.4,.479,,,,,,,1.6,2.1,.759,,,3.0,3.1,,,,1.6,9.6,,0.44
John Duren,durenjo01,john-duren-1,1980,19,1977-78,Georgetown,Ind,31,,34.2,6.9,14.1,.487,,,,,,,3.0,4.1,.727,,,4.0,3.8,1.4,0.0,,2.0,16.7,,1.29
John Duren,durenjo01,john-duren-1,1980,19,1978-79,Georgetown,Ind,29,,35.3,5.9,11.8,.499,,,,,,,2.9,3.4,.830,,,3.1,5.4,2.0,0.0,2.6,1.9,14.6,,1.38
John Duren,durenjo01,john-duren-1,1980,19,1979-80,Georgetown,Big East,32,32,36.4,5.0,10.9,.454,,,,,,,2.4,3.3,.726,,,2.8,7.1,1.8,0.1,3.3,2.1,12.3,,5.01
Bill Hanzlik,hanzlbi01,bill-hanzlik-1,1980,20,1976-77,Notre Dame,Ind,28,,9.8,1.4,3.3,.418,,,,,,,1.4,2.0,.709,,,1.8,0.5,,,,2.1,4.1,,4.09
